error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('27945','Santa Ana','San Pedro',05,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('27953','San Antonio de Gurza','San Pedro',05,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('27954','Tacuba','San Pedro',05,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('29376','Las Margaritas','Acala',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('29902','San Marcos','Salto de Agua',07,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30140','Cuernavaca','Frontera Comalapa',07,02);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30406','Rancho Verde','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30407','La Gloria','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30407','La Gloria','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30409','Las Piñuelas','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30409','Los Limones','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30409','El Hojamán','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30413','San Luis','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30413','Guadalupe','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30413','La Gloria','Cintalapa',07,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('30415','Las Margaritas','Cintalapa',07,29);
